"competencia","data","ano","nivel","aprovada","distribuida","ocupada","vago","nivel_nome","taxa_vacancia"
201708,2017-08-01,2017,"NI",345832,316024,221686,124146,"Nível intermediário",35.9
201708,2017-08-01,2017,"NM",2760,2594,2029,731,"Nível médio",26.49
201708,2017-08-01,2017,"NS",424201,370461,287218,136983,"Nível superior",32.29
201709,2017-09-01,2017,"NA",21935,20314,19255,2680,"Nível de apoio",12.22
201709,2017-09-01,2017,"NI",345698,315916,221178,124520,"Nível intermediário",36.02
201709,2017-09-01,2017,"NM",2816,2650,2084,732,"Nível médio",25.99
201709,2017-09-01,2017,"NS",424254,370754,287056,137198,"Nível superior",32.34
201710,2017-10-01,2017,"NA",21906,20284,19212,2694,"Nível de apoio",12.3
201710,2017-10-01,2017,"NI",345577,315880,221070,124507,"Nível intermediário",36.03
201710,2017-10-01,2017,"NM",2816,2650,2082,734,"Nível médio",26.07
201710,2017-10-01,2017,"NS",424263,370941,287074,137189,"Nível superior",32.34
201711,2017-11-01,2017,"NA",21951,20329,19244,2707,"Nível de apoio",12.33
201711,2017-11-01,2017,"NI",345478,315902,220714,124764,"Nível intermediário",36.11
201711,2017-11-01,2017,"NM",2861,2696,2130,731,"Nível médio",25.55
201711,2017-11-01,2017,"NS",424270,370974,286989,137281,"Nível superior",32.36
201712,2017-12-01,2017,"NA",22013,20391,19296,2717,"Nível de apoio",12.34
201712,2017-12-01,2017,"NI",345397,315970,220563,124834,"Nível intermediário",36.14
201712,2017-12-01,2017,"NM",2920,2755,2188,732,"Nível médio",25.07
201712,2017-12-01,2017,"NS",424314,371185,287048,137266,"Nível superior",32.35
201801,2018-01-01,2018,"NA",22006,20383,19282,2724,"Nível de apoio",12.38
201801,2018-01-01,2018,"NI",345301,316041,220355,124946,"Nível intermediário",36.18
201801,2018-01-01,2018,"NM",2962,2798,2228,734,"Nível médio",24.78
201801,2018-01-01,2018,"NS",424318,371445,287371,136947,"Nível superior",32.27
201802,2018-02-01,2018,"NA",22046,20423,19313,2733,"Nível de apoio",12.4
201802,2018-02-01,2018,"NI",345150,316256,219755,125395,"Nível intermediário",36.33
201802,2018-02-01,2018,"NM",3014,2850,2280,734,"Nível médio",24.35
201802,2018-02-01,2018,"NS",424097,372232,288211,135886,"Nível superior",32.04
201804,2018-04-01,2018,"NA",20104,19503,19412,692,"Nível de apoio",3.44
201804,2018-04-01,2018,"NI",327411,301515,223589,103822,"Nível intermediário",31.71
201804,2018-04-01,2018,"NM",3351,3187,2340,1011,"Nível médio",30.17
201804,2018-04-01,2018,"NS",432426,379496,294670,137756,"Nível superior",31.86
201805,2018-05-01,2018,"NA",20225,19622,19464,761,"Nível de apoio",3.76
201805,2018-05-01,2018,"NI",327575,301401,222719,104856,"Nível intermediário",32.01
201805,2018-05-01,2018,"NM",3412,3249,2378,1034,"Nível médio",30.3
201805,2018-05-01,2018,"NS",434191,379736,294255,139936,"Nível superior",32.23
201806,2018-06-01,2018,"NA",20240,19636,19530,710,"Nível de apoio",3.51
201806,2018-06-01,2018,"NI",327301,301166,221944,105357,"Nível intermediário",32.19
201806,2018-06-01,2018,"NM",3421,3258,2408,1013,"Nível médio",29.61
201806,2018-06-01,2018,"NS",433455,379860,294230,139225,"Nível superior",32.12
201807,2018-07-01,2018,"NA",20507,19904,19620,887,"Nível de apoio",4.33
201807,2018-07-01,2018,"NI",327143,300996,221295,105848,"Nível intermediário",32.36
201807,2018-07-01,2018,"NM",3566,3403,2442,1124,"Nível médio",31.52
201807,2018-07-01,2018,"NS",433592,380161,294426,139166,"Nível superior",32.1
201808,2018-08-01,2018,"NA",20604,20000,19692,912,"Nível de apoio",4.43
201808,2018-08-01,2018,"NI",326900,300841,220693,106207,"Nível intermediário",32.49
201808,2018-08-01,2018,"NM",3613,3450,2477,1136,"Nível médio",31.44
201808,2018-08-01,2018,"NS",433656,380949,295333,138323,"Nível superior",31.9
201809,2018-09-01,2018,"NA",20676,20073,19766,910,"Nível de apoio",4.4
201809,2018-09-01,2018,"NI",326719,300665,220081,106638,"Nível intermediário",32.64
201809,2018-09-01,2018,"NM",3626,3463,2489,1137,"Nível médio",31.36
201809,2018-09-01,2018,"NS",433668,381321,295794,137874,"Nível superior",31.79
201810,2018-10-01,2018,"NA",20764,20160,19845,919,"Nível de apoio",4.43
201810,2018-10-01,2018,"NI",326579,300530,219601,106978,"Nível intermediário",32.76
201810,2018-10-01,2018,"NM",3637,3459,2497,1140,"Nível médio",31.34
201810,2018-10-01,2018,"NS",433685,380907,295780,137905,"Nível superior",31.8
201811,2018-11-01,2018,"NA",20719,20115,19895,824,"Nível de apoio",3.98
201811,2018-11-01,2018,"NI",326058,300037,219112,106946,"Nível intermediário",32.8
201811,2018-11-01,2018,"NM",3639,3461,2531,1108,"Nível médio",30.45
201811,2018-11-01,2018,"NS",433976,380982,295606,138370,"Nível superior",31.88
201812,2018-12-01,2018,"NA",20698,20091,19930,768,"Nível de apoio",3.71
201812,2018-12-01,2018,"NI",325901,299100,218662,107239,"Nível intermediário",32.91
201812,2018-12-01,2018,"NM",3637,3458,2600,1037,"Nível médio",28.51
201812,2018-12-01,2018,"NS",433963,381053,295355,138608,"Nível superior",31.94
201901,2019-01-01,2019,"NA",20646,20039,19893,753,"Nível de apoio",3.65
201901,2019-01-01,2019,"NI",325524,298693,217548,107976,"Nível intermediário",33.17
201901,2019-01-01,2019,"NM",3635,3456,2608,1027,"Nível médio",28.25
201901,2019-01-01,2019,"NS",433744,381088,294922,138822,"Nível superior",32.01
201903,2019-03-01,2019,"NA",20409,19802,19622,787,"Nível de apoio",3.86
201903,2019-03-01,2019,"NI",323630,296911,211755,111875,"Nível intermediário",34.57
201903,2019-03-01,2019,"NM",3631,3452,2604,1027,"Nível médio",28.28
201903,2019-03-01,2019,"NS",433559,381460,293972,139587,"Nível superior",32.2
201904,2019-04-01,2019,"NA",20296,19688,19492,804,"Nível de apoio",3.96
201904,2019-04-01,2019,"NI",318780,292050,209387,109393,"Nível intermediário",34.32
201904,2019-04-01,2019,"NM",3630,3451,2602,1028,"Nível médio",28.32
201904,2019-04-01,2019,"NS",433482,381385,293137,140345,"Nível superior",32.38
201905,2019-05-01,2019,"NA",20267,19560,19341,926,"Nível de apoio",4.57
201905,2019-05-01,2019,"NI",318031,291336,207143,110888,"Nível intermediário",34.87
201905,2019-05-01,2019,"NM",3619,3542,2585,1034,"Nível médio",28.57
201905,2019-05-01,2019,"NS",433452,381772,292529,140923,"Nível superior",32.51
201906,2019-06-01,2019,"NA",20219,19521,19210,1009,"Nível de apoio",4.99
201906,2019-06-01,2019,"NI",304900,276421,205226,99674,"Nível intermediário",32.69
201906,2019-06-01,2019,"NM",3261,2913,2333,928,"Nível médio",28.46
201906,2019-06-01,2019,"NS",433746,378937,292835,140911,"Nível superior",32.49
201907,2019-07-01,2019,"NA",20080,19382,19065,1015,"Nível de apoio",5.05
201907,2019-07-01,2019,"NI",303634,275039,203277,100357,"Nível intermediário",33.05
201907,2019-07-01,2019,"NM",3250,2901,2324,926,"Nível médio",28.49
201907,2019-07-01,2019,"NS",433277,378436,292586,140691,"Nível superior",32.47
201908,2019-08-01,2019,"NA",19987,19310,18987,1000,"Nível de apoio",5
201908,2019-08-01,2019,"NI",302284,273664,201198,101086,"Nível intermediário",33.44
201908,2019-08-01,2019,"NM",3142,2793,2216,926,"Nível médio",29.47
201908,2019-08-01,2019,"NS",432265,377513,292202,140063,"Nível superior",32.4
201909,2019-09-01,2019,"NA",19887,19224,18923,964,"Nível de apoio",4.85
201909,2019-09-01,2019,"NI",301554,272968,199318,102236,"Nível intermediário",33.9
201909,2019-09-01,2019,"NM",3008,2659,2138,870,"Nível médio",28.92
201909,2019-09-01,2019,"NS",432329,377746,291967,140362,"Nível superior",32.47
