"competencia","data","ano","plano_carreira","aprovada","distribuida","ocupada","vago","taxa_vacancia"
202412,2024-12-01,2024,"Carreira de Perito Médico Federal",2452,25,4,2448,99.84
202412,2024-12-01,2024,"Carreira de Perícia Médica da Previdência Social",3212,3212,3205,7,0.22
202412,2024-12-01,2024,"Carreira de Pesquisa e Desenvolvimento de Informações e Avaliações Educacionais – INEP",418,340,250,168,40.19
202412,2024-12-01,2024,"Carreira de Planejamento e Orçamento",731,538,532,199,27.22
202412,2024-12-01,2024,"Carreira de Procurador Federal",4363,3698,3697,666,15.26
202412,2024-12-01,2024,"Carreira de Procurador da Fazenda Nacional",2343,2181,2171,172,7.34
202412,2024-12-01,2024,"Carreira de Regulação e Fiscalização da Atividade Cinematográfica e Audiovisual",150,150,139,11,7.33
202412,2024-12-01,2024,"Carreira de Regulação e Fiscalização de Aviação Civil",921,808,721,200,21.72
202412,2024-12-01,2024,"Carreira de Regulação e Fiscalização de Locais, Produtos e Serviços sob Vigilância Sanitária",810,810,748,62,7.65
202412,2024-12-01,2024,"Carreira de Regulação e Fiscalização de Petróleo e Derivados, Álcool combustível e Gás Natural",435,424,371,64,14.71
202412,2024-12-01,2024,"Carreira de Regulação e Fiscalização de Recursos Energéticos",365,365,293,72,19.73
202412,2024-12-01,2024,"Carreira de Regulação e Fiscalização de Saúde Suplementar",340,338,298,42,12.35
202412,2024-12-01,2024,"Carreira de Regulação e Fiscalização de Serviços Públicos de Telecomunicações",715,630,579,136,19.02
202412,2024-12-01,2024,"Carreira de Regulação e Fiscalização de Serviços de Transportes Aquaviários",218,208,165,53,24.31
202412,2024-12-01,2024,"Carreira de Regulação e Fiscalização de Serviços de Transportes Terrestres",590,331,305,285,48.31
202412,2024-12-01,2024,"Carreira de Supervisor Médico Pericial",442,145,41,401,90.72
202412,2024-12-01,2024,"Carreira de Suporte Técnico ao Financiamento e Execução de Programas e Projetos Educacionais",513,493,108,405,78.95
202412,2024-12-01,2024,"Carreira de Suporte Técnico em Informações Educacionais – INEP",120,114,53,67,55.83
202412,2024-12-01,2024,"Carreira de Suporte à Infra-Estrutura de Transportes",1831,1062,497,1334,72.86
202412,2024-12-01,2024,"Carreira de Suporte à Regulação e Fiscalização da Atividade Cinematográfica e Audiovisual",64,64,54,10,15.62
202412,2024-12-01,2024,"Carreira de Suporte à Regulação e Fiscalização de Aviação Civil",392,325,229,163,41.58
202412,2024-12-01,2024,"Carreira de Suporte à Regulação e Fiscalização de Locais, Produtos e Serviços sob Vigilância Sanitária",100,100,91,9,9
202412,2024-12-01,2024,"Carreira de Suporte à Regulação e Fiscalização de Petróleo e Derivados, Álcool Combustível e Gás Natural",50,50,36,14,28
202412,2024-12-01,2024,"Carreira de Suporte à Regulação e Fiscalização de Saúde Suplementar",94,85,74,20,21.28
202412,2024-12-01,2024,"Carreira de Suporte à Regulação e Fiscalização de Serviços Públicos de Telecomunicações",484,377,338,146,30.17
202412,2024-12-01,2024,"Carreira de Suporte à Regulação e Fiscalização de Serviços de Transportes Aquaviários",130,106,79,51,39.23
202412,2024-12-01,2024,"Carreira de Suporte à Regulação e Fiscalização de Serviços de Transportes Terrestres",860,644,486,374,43.49
202412,2024-12-01,2024,"Carreira de Técnico Administrativo - Agências Reuladoras",1373,1327,832,541,39.4
202412,2024-12-01,2024,"Carreira de Técnico Administrativo - DNIT",200,200,163,37,18.5
