"orgao","entidade","bloco","sigla_orgao","nome_orgao","primeiro","ultimo","meses","aprovada_max","entidade_nome","confianca","evidencia","bloco_nome"
24205,24205,"24205","FBN","FUNDACAO BIBLIOTECA NACIONAL",201601,202606,124,544,"FUNDACAO BIBLIOTECA NACIONAL","estavel","código presente sem troca ao longo da série","FUNDACAO BIBLIOTECA NACIONAL"
25000,25000,"25000","MS","MINISTERIO DA SAUDE",201601,202606,124,110962,"MINISTERIO DA SAUDE","estavel","código presente sem troca ao longo da série","MINISTERIO DA SAUDE"
26000,26000,"trabalho_prev","MTB","MINISTERIO DO TRABALHO E EMPREGO",201803,201903,12,10667,"MINISTERIO DO TRABALHO E EMPREGO","estavel","código presente sem troca ao longo da série","Trabalho e Previdência"
26104,26104,"26104","INES","INSTITUTO NACIONAL DE EDUCACAO DE SURDOS",201601,202310,93,508,"INSTITUTO NACIONAL DE EDUCACAO DE SURDOS","estavel","código presente sem troca ao longo da série","INSTITUTO NACIONAL DE EDUCACAO DE SURDOS"
26105,26105,"26105","I.B.CONST","INSTITUTO BENJAMIN CONSTANT",201601,202404,99,284,"INSTITUTO BENJAMIN CONSTANT","estavel","código presente sem troca ao longo da série","INSTITUTO BENJAMIN CONSTANT"
26106,26106,"26106","FNDE","FUNDO NACIONAL DE DESENVOLV. DA EDUCACAO",201601,202606,124,1128,"FUNDO NACIONAL DE DESENVOLV. DA EDUCACAO","estavel","código presente sem troca ao longo da série","FUNDO NACIONAL DE DESENVOLV. DA EDUCACAO"
26107,26107,"26107","INEP","INST.NACIONAL DE EST.E PESQ.EDUCACIONAIS",201601,202606,124,619,"INST.NACIONAL DE EST.E PESQ.EDUCACIONAIS","estavel","código presente sem troca ao longo da série","INST.NACIONAL DE EST.E PESQ.EDUCACIONAIS"
26201,26201,"26201","C.PEDROII","COLEGIO PEDRO II",201601,202606,124,2366,"COLEGIO PEDRO II","estavel","código presente sem troca ao longo da série","COLEGIO PEDRO II"
26230,26230,"26230","UNIVASF","FUND.UNIV.FED.DO VALE DO SAO FRANCISCO",201601,202606,124,1085,"FUND.UNIV.FED.DO VALE DO SAO FRANCISCO","estavel","código presente sem troca ao longo da série","FUND.UNIV.FED.DO VALE DO SAO FRANCISCO"
26231,26231,"26231","UFAL","UNIVERSIDADE FEDERAL DE ALAGOAS",201601,202606,124,3626,"UNIVERSIDADE FEDERAL DE ALAGOAS","estavel","código presente sem troca ao longo da série","UNIVERSIDADE FEDERAL DE ALAGOAS"
